filename,product_name,price_default,price_card,price_discount,barcode,discount_amount,id_sku,print_datetime,code,additional_info,color,special_symbols,frame_timestamp,x_min,y_min,x_max,y_max,qr_code_barcode,price1_qr,price2_qr,price3_qr,price4_qr,wholesale_level_1_count,wholesale_level_1_price,wholesale_level_2_count,wholesale_level_2_price,action_price_qr,action_code_qr
26_12-20.mp4,Вино MOULIN DE LA FAYE Шато Мулен де ла Фэй Бордо Гранд Резерв кр. сух. (Франция) 0. 75L,3789.49,2345.99,нет,3500610117022,-38%,270101738668,17.02.2026 1:14,нет,Сухое,red,нет,7197,1981.0,1894.0,2189.0,2084.0,3500610117022,3789.49,3599.99,нет,2345.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино CITRAN Бордо Суперьор кр. сух. (Франция) 0. 75L,2631.57,1899.99,нет,4690491122587,-27%,нет,нет,нет,Сухое,red,Ш,7197,2003.0,1479.0,2234.0,1703.0,4690491122587,2631.57,нет,нет,1899.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино PREIGNES LE VIEUX Пэй дОк Лез Этонан Каберне Фран сорт. кр. сух. (Франция) 0. 75L,2421.05,1631.99,нет,3552848940002,-32%,270101051849,01.04.2026 0:41,01_025019 - 026015,нет,red,Ш,6797,2029.0,960.0,2246.0,1197.0,3552848940002,2421.05,2299.99,нет,1631.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино ALBERT BICHOT Chateau De Dracy Пино Нуар Бургонь выдерж. кр. сух. (Франция) 0. 75L,5578.99,2999.99,нет,3296311111000,-46%,270101529789,17.02.2026 1:14,026005 - 026007,Сухое,red,Ш,7197,2042.0,383.0,2264.0,614.0,3296311111000,5578.99,5299.99,нет,2999.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино MICKAEL MARILLIER BEAUJOLAIS AOP ординарное сортовое кр. сух. (Франция) 0. 75L,1999.99,1399.99,нет,3363040800885,-30%,270101580637,03.03.2026 16:10,026017 - 025018,Сухое,red,К,0,708.0,1566.0,893.0,1786.0,3363040800885,1999.99,1899.99,нет,1399.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино CLOCE DU CHARME Каберне Совиньон кр. сух. (Франция) 0. 75L,1334.99,1199.99,нет,3437540053123,-10%,270101778029,08.04.2026 1:24,026005 - 026007,нет,red,К,7197,708.0,1301.0,896.0,1512.0,3437540053123,1334.99,1268.29,нет,1199.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино CLOCE DU CHARME Каберне Мерло кр. сух. (Франция) 0. 75L,1334.99,1199.99,нет,3437540053130,-10%,270101770030,нет,нет,нет,red,К,7197,701.0,954.0,887.0,1173.0,3437540053130,1334.99,1268.29,нет,1199.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино LE GRAND NOIR Пино Нуар кр. п./ сух. (Франция) 0. 75L,1578.94,1199.99,нет,4690491106778,-29%,270101450101,03.04.2026 5:01,025015 - 025010,Полусухое,red,К,7197,2049.0,0.0,2266.0,142.0,4690491106778,1578.94,1499.99,нет,1119.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино LA BAUME SAINT-PAUL TERROIR Корбьер AOP кр. сух. (Франция) 0. 75L,2526.31,2254.99,нет,3500610089701,-10%,270101495860,нет,025017 - 025018,Сухое,red,К,8397,1985.0,1744.0,2200.0,1967.0,3500610089701,2526.31,2399.99,нет,2254.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино GUIGAL Кот дю Рон Руж выд. кр. сух. (Франция) 0. 75L,4421.09,2749.99,нет,4690491121887,-37%,270101730056,17.02.2026 1:14,нет,Сухое,red,нет,9596,2032.0,1143.0,2219.0,1362.0,4690491121887,4421.09,4199.99,нет,2749.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино BOUNGOGNE PINOT NOIR PIERRE NEROL выдерж. сорт. AOP кр. сух. (Франция) 0. 75L,3157.89,2299.99,нет,3298660031398,-27%,270101701901,03.03.2026 16:30,026017 - 026015,Сухое,red,Ш,3599,2027.0,517.0,2241.0,774.0,3298660031398,3157.89,2999.99,нет,2299.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино CHATEAU LE VIEUX FORT Бордо Медок Крю Буржуа АОП выдерж. кр. сух. (Франция) 0. 75L,2526.31,2184.99,нет,3770001048277,-13%,270101495862,28.02.2026 1:13,025017 - 025018,Сухое,red,Ш,6797,711.0,480.0,900.0,693.0,3770001048277,2526.31,2399.99,нет,2184.99,нет,нет,нет,нет,нет,нет
26_12-20.mp4,Вино LE GRAND NOIR Каберне Совиньон орд. кр. п./ сух. (Франция) 0. 75L,1578.94,1199.99,нет,4690491106877,-29%,270101458163,03.04.2026 5:01,026015 - 026016,Полусухое,red,К,7197,736.0,1555.0,922.0,1905.0,4690491106877,1578.94,1499.99,нет,1119.99,нет,нет,нет,нет,нет,нет
