filename,product_name,price_default,price_card,price_discount,barcode,discount_amount,id_sku,print_datetime,code,additional_info,color,special_symbols,frame_timestamp,x_min,y_min,x_max,y_max,qr_code_barcode,price1_qr,price2_qr,price3_qr,price4_qr,wholesale_level_1_count,wholesale_level_1_price,wholesale_level_2_count,wholesale_level_2_price,action_price_qr,action_code_qr
25_12-20.mp4,"Напиток безалкогольный SANTO STEFANO Rosso (Россия) 0, 25L",252.63,129.99,нет,4670025474665,-48%,270207736530,03.04.2026 3:08,нет,нет,red,нет,30053,2011.0,1937.0,2238.0,2123.0,4670025474665,252.63,239.99,нет,129.99,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Напиток безалкогольный SANTO STEFANO Bianco (Россия) 0, 25L",252.63,129.99,нет,4670025474658,-48%,270207736529,03.04.2026 3:08,нет,нет,red,нет,1503,2027.0,1457.0,2240.0,1678.0,4670025474658,252.63,239.99,нет,129.99,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Напиток безалкогольный ABRAU LIGHT Аромат. с/газ. (Россия) 0, 25L",144.99,129.99,нет,4680140271438,-10%,270207716055,04.04.2026 1:09,нет,нет,red,нет,0,2075.0,899.0,2294.0,1148.0,4680140271438,144.99,137.79,нет,129.99,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Напиток безалкогольный ABRAU LIGHT Аромат. розовый с/газ. (Россия) 0, 25L",144.99,129.99,нет,4680140271469,-10%,270207716056,04.04.2026 1:09,024 017_1_6_2,3 по цене 2 от цены без карты,red,Ш,0,2092.0,639.0,2283.0,877.0,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Напиток безалкогольный ABRAU LIGHT Zero ароматиз. сильногазир. (Россия) 0, 75L",547.36,259.99,нет,4630027300508,-52%,270207659437,17.03.2026 13:27,нет,Полусладкое,red,нет,22540,2020.0,1886.0,2234.0,2082.0,4630027300508,547.36,519.99,нет,259.99,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Вино безалкогольное MAYBACH роз. п/сух. (Германия) 0, 75L",1263.15,769.99,нет,4062073002325,-39%,270122736635,03.04.2026 3:08,нет,Полусухое,red,нет,6011,2072.0,207.0,2287.0,448.0,4062073002325,1263.15,1199.99,нет,769.99,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Вино безалкогольное MAYBACH бел. п/сух. (Германия) 0, 75L",1263.15,799.99,нет,4062073002301,-36%,270122736634,нет,нет,Полусухое,red,нет,6011,747.0,1184.0,934.0,1397.0,4062073002301,1263.15,1199.99,нет,799.99,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Вино безалкогольное MUCHO MAS бел. п/сух. (Испания) 0, 75L",1068.42,нет,нет,нет,нет,нет,нет,нет,"Полусухое, Упс! Товар закончился. Уже везём!",red,нет,1503,2032.0,1221.0,2230.0,1447.0,8410702062633,1068.42,1014.99,нет,799.99,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Вино безалкогольное CARL JUNG Cuvee red кр. (Германия) 0, 75L",1684.20,1199.99,нет,4009427051042,-28%,270122866241,27.01.2026 14:00,нет,нет,red,нет,0,2029.0,1783.0,2229.0,1977.0,4009427051042,1684.20,1599.99,нет,1199.99,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Вино безалкогольное LE PETIT BERET Sauvignon (Франция) 0, 75L",1368.42,699.99,нет,3760251404725,-48%,270122724887,20.03.2026,нет,Сухое,red,нет,6011,850.0,1959.0,1031.0,2113.0,3760251404725,1368.42,1299.99,нет,699.99,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Вино безалкогольное E ENJOY ЭнджОй ит Шардоне бел. п/ сл. (Германия) 0, 75L",894.73,849.99,нет,4003301082771,нет,270122881719,25.02.2026 10:53,нет,нет,yellow,нет,12773,2060.0,678.0,2286.0,929.0,4003301082771,894.73,849.99,нет,нет,2,805.26,3,760.52,нет,нет
25_12-20.mp4,"Вино безалкогольное DOPPIO PASSIO Альтернатива Россо кр. (Италия) 0, 75L",1684.20,1299.99,нет,4660115480232,-22%,270122774356,20.02.2026 12:09,нет,нет,red,нет,9767,2044.0,1311.0,2263.0,1544.0,4660115480232,1684.20,1599.99,нет,1299.99,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Вино безалкогольное DOPPIO PASSIO Альтернатива Бьянко бел. (Италия) 0, 75L",1684.20,1299.99,нет,4014741125829,-22%,270122774357,нет,нет,нет,red,нет,22540,2080.0,653.0,2324.0,912.0,4014741125829,1684.20,1599.99,нет,1299.99,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Вино безалкогольное CARL JUNG Cuvee white бел. (Германия) 0, 75L",1684.20,999.99,нет,4009427021045,-40%,270122868240,03.04.2026 3:06,нет,нет,red,нет,42826,2097.0,75.0,2311.0,303.0,4009427021045,1684.20,1599.99,нет,999.99,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Вино безалкогольное LE PETIT BERET Rose Prestige (Франция) 0, 75L",1368.42,1049.99,нет,3760251404732,-23%,270122724897,нет,нет,нет,red,нет,12773,2092.0,0.0,2313.0,113.0,3760251404732,1368.42,1299.99,нет,1049.99,нет,нет,нет,нет,нет,нет
25_12-20.mp4,"Вино безалкогольное FREE PASS Chardonnay бел. п/ сл. (Германия) 0, 75L",947.36,549.99,нет,4062073014465,-41%,270122794344,06.04.2026 13:40,21_ЦПУ,нет,red,нет,12773,759.0,1554.0,961.0,1870.0,4062073014465,947.36,899.99,нет,549.99,нет,нет,нет,нет,нет,нет
